lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI
-98.98729253499093,19.24716853025225,2016,bosque,dynamic_world,975.0,902.0,852.0,2083.0,1729.0,1157.0,0.41942078,-0.3956449
-98.97525511018372,19.234681947802986,2016,bosque,dynamic_world,973.0,937.0,875.0,2428.0,1780.0,1355.0,0.47017863,-0.44309065
-98.97040420764948,19.23288531723475,2016,bosque,dynamic_world,865.0,814.0,674.0,2190.0,1711.0,953.0,0.5293296,-0.4580559
-99.02870486958884,19.26288904772434,2016,bosque,dynamic_world,1298.5,1199.0,1199.5,1498.5,1210.5,892.5,0.110822834,-0.11102873
-98.97606359393943,19.27744175532708,2016,bosque,dynamic_world,1181.0,1075.0,1201.0,1893.0,2294.0,1808.0,0.2236587,-0.27560648
-99.04442538706093,19.280855353406732,2016,bosque,dynamic_world,953.0,954.0,892.0,2629.0,1843.5,1184.5,0.49332577,-0.46748534
-98.98801118721822,19.241509143962297,2016,bosque,dynamic_world,835.0,726.0,595.0,1748.0,1633.0,1117.0,0.49210414,-0.4130962
-98.97390763725755,19.234142958632518,2016,bosque,dynamic_world,861.0,778.0,641.0,2142.0,1354.0,778.0,0.53934604,-0.4671233
-98.96402616913224,19.21869193574566,2016,bosque,dynamic_world,784.0,736.0,527.0,2765.0,1527.0,958.0,0.6798299,-0.5795487
-99.02870486958884,19.26360769995164,2016,bosque,dynamic_world,858.0,743.0,618.5,1932.5,1599.0,861.0,0.51509213,-0.4445898
-98.98055517036003,19.23072936055286,2016,bosque,dynamic_world,856.0,798.0,714.0,2141.0,1749.0,1077.0,0.49982488,-0.45695814
-99.02951335334454,19.263697531480048,2016,bosque,dynamic_world,993.0,981.0,1122.5,2702.0,2326.0,1367.5,0.41299516,-0.46728212
-99.01244536294628,19.274117988775835,2016,bosque,dynamic_world,874.0,762.5,665.0,2081.0,2257.5,1314.5,0.51565915,-0.46368912
-98.98765186110458,19.244204089814655,2016,bosque,dynamic_world,947.0,853.0,761.0,1971.0,1779.0,1282.0,0.442899,-0.39589235
-99.02897436417408,19.262709384667517,2016,bosque,dynamic_world,899.5,823.5,736.0,2291.0,1492.5,882.5,0.51370996,-0.47118318
-98.97516527865531,19.23378363251887,2016,bosque,dynamic_world,995.0,892.0,924.0,1728.0,2033.0,1353.0,0.30316743,-0.31908396
-99.0291540272309,19.263158542309576,2016,bosque,dynamic_world,861.0,765.0,591.5,1964.0,1376.5,764.5,0.5370769,-0.43935508
-99.01514030879864,19.269536580826827,2016,bosque,dynamic_world,982.5,930.0,926.5,2055.0,1885.0,1155.0,0.37850076,-0.37688443
-99.04765932208376,19.281933331747673,2016,bosque,dynamic_world,766.0,671.5,517.0,1532.5,995.0,570.5,0.4954867,-0.39065337
-99.01810474923623,19.27402815724742,2016,bosque,dynamic_world,866.0,710.0,624.5,1374.0,1651.5,968.5,0.37503126,-0.31861803
-99.0472999959701,19.281484174105614,2016,bosque,dynamic_world,792.0,676.5,525.5,1567.5,1151.0,649.0,0.49784997,-0.3970588
-98.98342977926922,19.258846628945804,2016,bosque,dynamic_world,891.0,784.0,627.0,1928.0,1114.0,604.0,0.50919765,-0.4218289
-98.97390763725755,19.27753158685549,2016,bosque,dynamic_world,988.0,924.0,969.0,1937.0,2183.0,1475.0,0.33310392,-0.354072
-98.97031437612107,19.23297514876316,2016,bosque,dynamic_world,854.0,777.0,599.0,2280.0,1643.0,1000.0,0.5838833,-0.49165848
-98.9879213556898,19.247977014007958,2016,bosque,dynamic_world,1008.0,924.0,757.0,2364.0,1846.0,1302.0,0.5148991,-0.4379562
-98.9660024627573,19.322088024947817,2016,bosque,dynamic_world,1063.0,1048.0,1074.0,2071.0,2386.0,1689.0,0.31701112,-0.32798973
-99.01406233045769,19.266841634974465,2016,bosque,dynamic_world,887.5,762.5,647.0,1325.0,1531.0,890.0,0.3438134,-0.26946107
-99.02430312469666,19.269177254713178,2016,bosque,dynamic_world,997.5,983.5,1018.5,2810.0,2389.5,1362.0,0.46793783,-0.4814815
-99.0156792979691,19.27304001043489,2016,bosque,dynamic_world,843.0,690.5,599.0,1565.5,1702.0,1081.5,0.44652346,-0.3878546
-99.01720643395211,19.273758662662186,2016,bosque,dynamic_world,912.5,766.5,749.0,1403.0,1495.5,1128.0,0.30390334,-0.29338557
-98.9871128719341,19.2468092041386,2016,bosque,dynamic_world,981.0,850.0,753.0,1666.0,1668.0,1218.0,0.37742868,-0.3243243
-99.02942352181614,19.263428036894812,2016,bosque,dynamic_world,898.0,838.0,816.0,2002.5,1788.0,1144.0,0.4209686,-0.40996304
-99.01235553141787,19.271692537508713,2016,bosque,dynamic_world,916.0,804.0,672.0,1525.0,1961.0,1093.5,0.3882567,-0.30957493
-98.96447532677429,19.218602104217247,2016,bosque,dynamic_world,819.0,765.0,664.0,2416.0,1847.0,1080.0,0.56883115,-0.5190192
-98.9765127515815,19.278609565196433,2016,bosque,dynamic_world,1107.0,1069.0,1268.0,2160.0,2827.0,1970.0,0.26021004,-0.33787552
-98.9908857961274,19.264326352178934,2016,bosque,dynamic_world,1052.0,918.0,825.0,1958.0,1582.0,1085.0,0.40711462,-0.36161336
-98.96429566371746,19.218781767274074,2016,bosque,dynamic_world,828.0,864.0,678.0,2663.0,1536.0,887.0,0.5941335,-0.5100652
-98.9879213556898,19.24761768789431,2016,bosque,dynamic_world,1065.0,1008.0,965.0,2442.0,2053.0,1716.0,0.4335192,-0.4156522
-99.04604235457235,19.281035016463555,2016,bosque,dynamic_world,948.5,960.5,899.5,2483.0,1740.0,1163.5,0.46814486,-0.44213736
-98.9660024627573,19.322357519533053,2016,bosque,dynamic_world,1048.0,1011.0,989.0,1810.0,1983.0,1255.0,0.29331905,-0.2832329
-99.04810847972583,19.282921478560205,2016,bosque,dynamic_world,978.5,886.0,839.0,2030.5,1385.0,934.5,0.41522914,-0.39242244
-99.02906419570249,19.26235005855387,2016,bosque,dynamic_world,861.0,746.5,612.5,1151.5,1258.5,834.0,0.30555555,-0.21338251
-99.01828441229306,19.273758662662186,2016,bosque,dynamic_world,903.0,772.0,830.5,1937.5,2614.5,1659.5,0.39992774,-0.43015316
-99.01199620530421,19.268997591656355,2016,bosque,dynamic_world,874.0,728.0,618.0,1333.5,1555.5,968.0,0.36664104,-0.29371816
-99.04828814278264,19.2821129948045,2016,bosque,dynamic_world,952.5,879.5,976.0,1745.5,1445.5,956.5,0.2827485,-0.32990476
-98.97552460476896,19.278160407554374,2016,bosque,dynamic_world,1151.0,1164.0,1417.0,2257.0,2864.0,2022.0,0.22863364,-0.31949723
-99.00687580818473,19.325321959970648,2016,bosque,dynamic_world,950.0,818.0,790.0,857.5,1043.0,967.0,0.040971167,-0.023575053
-98.9757940993542,19.277980744497548,2016,bosque,dynamic_world,1098.0,1107.0,1251.0,2106.0,2628.0,1784.0,0.2546917,-0.31092438
-99.019362390634,19.270973885281418,2016,bosque,dynamic_world,1043.0,943.0,1124.5,2363.5,2011.5,1205.5,0.3552179,-0.42960835
-99.0284353750036,19.264955172877816,2016,bosque,dynamic_world,890.5,828.0,774.0,2143.0,1679.0,1010.0,0.4693178,-0.4426119
-99.00031810661066,19.324154150101293,2016,bosque,dynamic_world,904.0,814.0,805.5,1251.5,1696.0,1382.0,0.21682061,-0.21181312
-99.04541353387346,19.28355029925909,2016,bosque,dynamic_world,894.5,793.5,726.0,1965.5,1382.0,854.5,0.46052387,-0.4247916
-98.97678224616674,19.2776214183839,2016,bosque,dynamic_world,1124.0,1084.0,1191.0,1876.0,2290.0,1653.0,0.2233453,-0.26756757
-98.96492448441636,19.218961430330896,2016,bosque,dynamic_world,1086.0,1034.0,907.0,1844.0,1696.0,1216.0,0.3406034,-0.28144544
-98.98783152416141,19.242317627718005,2016,bosque,dynamic_world,902.0,785.0,685.0,2066.0,1608.0,1085.0,0.50199926,-0.44931602
-99.01217586836104,19.27438748336107,2016,bosque,dynamic_world,876.5,813.5,790.5,2313.5,2108.5,1297.0,0.4906572,-0.479693
-99.00238423176414,19.326759264425238,2016,bosque,dynamic_world,749.5,592.5,486.5,465.5,606.0,492.0,-0.022058824,0.12003781
-98.99133495376947,19.264326352178934,2016,bosque,dynamic_world,1169.0,1099.0,1093.0,2234.0,1809.0,1345.0,0.3429516,-0.34053406
-98.96609229428572,19.249324486934135,2016,bosque,dynamic_world,802.0,694.0,553.0,1784.0,1133.0,756.0,0.5267437,-0.43987086
-99.00948092250869,19.26603315121876,2016,bosque,dynamic_world,982.0,943.5,769.5,1883.0,1557.0,1052.0,0.41979265,-0.3323899
-98.9915146168263,19.234592116274577,2016,bosque,dynamic_world,896.0,844.0,697.0,2062.0,1554.0,1098.0,0.49474448,-0.41913283
-98.98783152416141,19.242587122303238,2016,bosque,dynamic_world,890.0,797.0,707.0,1884.0,1660.0,1165.0,0.45426476,-0.40544572
-98.97633308852467,19.27753158685549,2016,bosque,dynamic_world,1066.0,989.0,1103.0,1818.0,2285.0,1738.0,0.24477918,-0.2953331
-98.99870113909925,19.2550737047525,2016,bosque,dynamic_world,982.0,960.0,942.0,2111.0,1757.0,1079.0,0.38290206,-0.37479648
-98.96797875638237,19.236388746842817,2016,bosque,dynamic_world,821.0,744.0,554.0,1694.0,1197.0,740.0,0.50711745,-0.38966367
-99.0441558924757,19.280945184935142,2016,bosque,dynamic_world,1094.0,1022.0,1126.5,2403.0,2124.0,1624.0,0.36166596,-0.40321168
-98.98720270346251,19.247258361780663,2016,bosque,dynamic_world,1036.0,1024.0,1005.0,2162.0,2102.0,1695.0,0.36532995,-0.3571877
-98.96474482135953,19.218512272688837,2016,bosque,dynamic_world,852.0,839.0,671.0,2900.0,1969.0,1201.0,0.6241949,-0.5512169
-98.96492448441636,19.21869193574566,2016,bosque,dynamic_world,893.0,864.0,682.0,3039.0,1566.0,910.0,0.63343185,-0.5572637
-99.01612845561117,19.272860347378067,2016,bosque,dynamic_world,857.0,766.0,681.5,2306.0,1958.0,1194.0,0.54376566,-0.50130206
-99.00903176486662,19.264865341349402,2016,bosque,dynamic_world,955.0,883.5,851.0,1947.0,1840.0,1069.0,0.39170837,-0.37572867
-98.97381780572914,19.27771124991231,2016,bosque,dynamic_world,1106.0,1088.0,1250.0,2093.0,2410.0,1718.0,0.25216872,-0.31593838
-98.98729253499093,19.247258361780663,2016,bosque,dynamic_world,1065.0,1031.0,993.0,2342.0,1824.0,1255.0,0.40449774,-0.38867477
-98.987741692633,19.247438024837486,2016,bosque,dynamic_world,911.0,823.0,712.0,1934.0,1748.0,1101.0,0.4618292,-0.40297425
-98.97615342546784,19.27771124991231,2016,bosque,dynamic_world,1098.0,973.0,1029.0,1855.0,2135.0,1689.0,0.28640777,-0.31188118
-98.96788892485395,19.23764638824058,2016,bosque,dynamic_world,1006.0,1045.0,939.0,1535.0,1545.0,1370.0,0.24090542,-0.18992248
-99.01280468905992,19.263967026065284,2016,bosque,dynamic_world,1013.5,992.5,916.0,2532.5,2343.5,1486.5,0.46875453,-0.43687943
-99.0171166024237,19.26791961331541,2016,bosque,dynamic_world,963.0,949.0,1009.0,2258.5,1850.0,1184.0,0.38240245,-0.4082619
-99.04810847972583,19.283011310088618,2016,bosque,dynamic_world,983.0,906.5,901.5,1949.0,1423.0,998.0,0.36747938,-0.36508492
-99.02897436417408,19.263517868423225,2016,bosque,dynamic_world,853.0,745.0,599.0,1825.0,1228.0,648.0,0.5057756,-0.42023346
-98.97282965891661,19.232166665007455,2016,bosque,dynamic_world,1033.0,1041.0,951.0,2988.0,1890.0,1348.0,0.51713634,-0.48324648
-99.04451521858934,19.28220282633291,2016,bosque,dynamic_world,873.5,876.0,641.0,2475.0,1004.0,570.0,0.5885751,-0.477171
-98.98756202957617,19.24761768789431,2016,bosque,dynamic_world,1002.0,911.0,811.0,1804.0,1741.0,1393.0,0.3797323,-0.32891345
-98.96761943026871,19.239083692695175,2016,bosque,dynamic_world,836.0,767.0,551.0,1871.0,1195.0,795.0,0.5450041,-0.41849887
-99.04442538706093,19.281035016463555,2016,bosque,dynamic_world,870.0,799.5,696.0,1951.5,1246.5,722.5,0.47422096,-0.4187568
-98.97552460476896,19.234412453217754,2016,bosque,dynamic_world,936.0,867.0,720.0,2512.0,1938.0,1318.0,0.55445546,-0.4868304
-99.01684710783846,19.27339933654854,2016,bosque,dynamic_world,822.0,656.0,499.0,1424.5,1202.0,634.5,0.48115414,-0.36938235
-98.97615342546784,19.278250239082784,2016,bosque,dynamic_world,987.0,936.0,1018.0,1879.0,2248.0,1490.0,0.29720402,-0.33499113
-98.96393633760383,19.219769914086605,2016,bosque,dynamic_world,1031.0,952.0,734.0,1834.0,1415.0,1051.0,0.4283489,-0.31658292
-99.06167304051603,19.281035016463555,2016,bosque,dynamic_world,881.5,769.5,658.5,1427.5,1108.0,665.0,0.36864814,-0.2994993
-98.9735483111439,19.277801081440725,2016,bosque,dynamic_world,1091.0,1103.0,1260.0,2119.0,2429.0,1802.0,0.25421724,-0.31533208
-98.99897063368448,19.2550737047525,2016,bosque,dynamic_world,966.0,911.0,891.0,2133.0,2070.0,1328.0,0.4107143,-0.40144548
-99.00274355787778,19.32666943289683,2016,bosque,dynamic_world,683.5,503.0,375.0,280.5,380.5,299.5,-0.14416476,0.28398213
-98.97480595254167,19.23432262168934,2016,bosque,dynamic_world,872.0,782.0,592.0,2335.0,1400.0,790.0,0.5954903,-0.4982355
-98.98810101874663,19.248066845536368,2016,bosque,dynamic_world,897.0,808.0,600.0,2141.0,1409.0,880.0,0.5622036,-0.45201764
-98.98756202957617,19.23288531723475,2016,bosque,dynamic_world,957.0,907.0,875.0,2313.0,1755.0,1205.0,0.4510665,-0.43664595
-98.97363814267231,19.234053127104104,2016,bosque,dynamic_world,908.0,887.0,774.0,2490.0,1526.0,846.0,0.5257353,-0.47468168
-98.9833399477408,19.258577134360568,2016,bosque,dynamic_world,935.0,829.0,764.0,1876.0,1645.0,995.0,0.4212121,-0.387061
-98.97480595254167,19.23387346404728,2016,bosque,dynamic_world,845.0,808.0,592.0,2547.0,1788.0,1061.0,0.6228098,-0.5183309
-99.02241666260001,19.316518470186278,2016,bosque,dynamic_world,839.5,779.5,691.5,1614.0,1204.0,925.0,0.40013012,-0.3486526
-98.97471612101326,19.245910888854482,2016,bosque,dynamic_world,969.0,962.0,784.0,2780.0,1601.0,1091.0,0.5600449,-0.48583645
