lon,lat,anio,clase,fuente,B02,B03,B04,B08,B11,B12,NDVI,NDWI,alcaldia,confianza
-99.12500426804644,19.582958783456128,2024,bosque,dynamic_world,628.0,755.0,846.0,2134.0,1825.0,1292.0,0.43221477,-0.4773278,Gustavo A. Madero,1.0
-99.1238364581771,19.58511474013801,2024,bosque,dynamic_world,390.0,564.0,472.0,2323.0,1717.0,1032.0,0.66225404,-0.609283,Gustavo A. Madero,1.0
-99.1148533053359,19.491689950589585,2024,bosque,dynamic_world,554.0,662.0,730.0,1730.0,1946.0,1375.0,0.40650406,-0.4464883,Gustavo A. Madero,1.0
-99.12751955084198,19.534270095056847,2024,bosque,dynamic_world,512.0,650.0,717.0,1386.5,1689.5,1414.0,0.31827906,-0.3616499,Gustavo A. Madero,1.0
-99.1380298396662,19.57325697838764,2024,bosque,dynamic_world,400.5,503.5,595.5,1301.0,1716.5,1318.5,0.37200105,-0.44195068,Gustavo A. Madero,1.0
-99.10910408751754,19.495462874782884,2024,bosque,dynamic_world,571.0,720.0,876.0,1617.0,2122.0,1551.0,0.29723224,-0.38382542,Gustavo A. Madero,1.0
-99.11979403939856,19.58888766433132,2024,bosque,dynamic_world,568.0,692.0,752.0,1656.0,2142.0,1580.0,0.3754153,-0.4105622,Gustavo A. Madero,1.0
-99.13641287215476,19.50175108177172,2024,bosque,dynamic_world,365.0,534.0,451.0,2231.0,1477.0,918.0,0.66368383,-0.61374325,Gustavo A. Madero,1.0
-99.1321907903194,19.58080282677424,2024,bosque,dynamic_world,440.5,554.0,652.5,1417.5,1683.5,1265.5,0.36956522,-0.43799138,Gustavo A. Madero,1.0
-99.13470607311494,19.532742959073847,2024,bosque,dynamic_world,932.5,1072.0,1342.0,2391.0,2654.5,2048.5,0.28100723,-0.38088363,Gustavo A. Madero,1.0
-99.1179075773019,19.565890793057857,2024,bosque,dynamic_world,470.0,547.0,660.0,1239.0,1923.0,1501.0,0.3048973,-0.387458,Gustavo A. Madero,1.0
-99.1487197915472,19.49788832605001,2024,bosque,dynamic_world,284.0,477.0,278.5,2760.5,1276.0,619.0,0.816716,-0.70532817,Gustavo A. Madero,1.0
-99.13677219826842,19.49573236936812,2024,bosque,dynamic_world,534.0,731.0,812.0,1640.0,1910.0,1254.0,0.33768353,-0.38338253,Gustavo A. Madero,1.0
-99.12527376263168,19.57658074493888,2024,bosque,dynamic_world,580.0,690.0,830.0,1567.0,2099.0,1514.0,0.30746767,-0.3885689,Gustavo A. Madero,1.0
-99.11988387092696,19.556009324932543,2024,bosque,dynamic_world,517.0,558.0,573.0,1289.0,1531.0,1129.0,0.38453275,-0.39577693,Gustavo A. Madero,1.0
-99.10901425598912,19.49716967382271,2024,bosque,dynamic_world,727.0,836.0,964.0,1737.0,2246.0,1696.0,0.2861903,-0.3501749,Gustavo A. Madero,1.0
-99.10892442446072,19.499056135919364,2024,bosque,dynamic_world,713.0,824.0,1016.0,1776.0,2367.0,1775.0,0.2722063,-0.36615384,Gustavo A. Madero,1.0
-99.13299927407512,19.52708357278389,2024,bosque,dynamic_world,479.0,637.0,680.0,1514.5,1783.5,1293.5,0.38026884,-0.40785497,Gustavo A. Madero,1.0
-99.14988760141657,19.53471925269891,2024,bosque,dynamic_world,664.0,881.5,1021.5,2600.5,2512.0,1706.5,0.435947,-0.4936818,Gustavo A. Madero,1.0
